,is_not_hispanic,is_male,preapproval_requested,loan_amount,loan_to_value_ratio,interest_only_payment,balloon_payment,income,log_loan_to_value_ratio,mid_debt_to_income_ratio,debt,derived_race_Asian,derived_race_Black or African American,derived_race_Minority Races,derived_race_White,debt_to_income_ratio_20%-<30%,debt_to_income_ratio_30%-<36%,debt_to_income_ratio_36%-<50%,debt_to_income_ratio_50%-60%,debt_to_income_ratio_<20%,debt_to_income_ratio_>60%,applicant_age_25-34,applicant_age_35-44,applicant_age_45-54,applicant_age_55-64,applicant_age_65-74,applicant_age_<25,applicant_age_>74,loan_type_Converntional,loan_type_FHA-insured,loan_type_VA-guaranteed,loan_purpose_Home Improvement,loan_purpose_Home Purchase,loan_purpose_Other Purpose,loan_purpose_Refinancing
7082,1.0,1.0,0.0,1.5258462761274934,0.7586699090629693,-4.232763824354034,0.13698346380285525,0.2735819723130151,0.6695768754439424,-0.9458847872158778,0.16469041449762695,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
7083,1.0,0.0,0.0,0.29454243002097213,0.1528081478561975,0.23625225538129552,0.13698346380285525,-0.24290588826060003,0.2831035956832931,0.1187865792780793,-0.3209191247180832,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
7084,1.0,0.0,0.0,-0.47502247379560364,-0.5152477752164618,0.23625225538129552,0.13698346380285525,-0.37443385275450203,-0.24605162542692102,0.1187865792780793,-0.58234955391576,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
7085,1.0,0.0,0.0,0.20219464156298303,-0.6986223092027327,0.23625225538129552,0.13698346380285525,-0.1755379064466502,-0.4180577152054863,0.1187865792780793,-0.18701573415341957,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
7086,1.0,0.0,0.0,0.9717595453795588,-0.26807510355860625,0.23625225538129552,0.13698346380285525,0.3601979489309506,-0.0344461848227881,-0.290702407834981,0.6471117777475118,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
7087,1.0,0.0,0.0,-0.25954430072696244,0.15762007527328767,-4.232763824354034,0.13698346380285525,0.07789402513916092,0.28647057290316696,0.1187865792780793,0.316716068446982,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
7088,1.0,1.0,0.0,-0.9983266083908752,0.791992506426317,0.23625225538129552,0.13698346380285525,-0.050425940220743454,0.6889048596087234,0.1187865792780793,0.061661991180955875,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
7089,0.0,0.0,0.0,-0.13641391611631032,0.42548403482463043,0.23625225538129552,0.13698346380285525,-0.2974418735385594,0.4658731890818488,0.1187865792780793,-0.42931710755614433,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
7090,1.0,0.0,0.0,0.17141204541031999,0.0016735275644299264,0.23625225538129552,0.13698346380285525,-0.28460987700256896,0.1745112807564535,0.1187865792780793,-0.40381169982954174,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
7091,1.0,1.0,0.0,0.9101943530742327,0.35811705098537033,0.23625225538129552,0.13698346380285525,0.42756593074490035,0.42217422558803436,-0.9458847872158778,0.3660488965497528,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
