ethnicity,race,gender,action_taken,preapproval_requested,loan_type,loan_purpose,loan_to_value_ratio,interest_only_payment,balloon_payment,debt_to_income_ratio,age,income,derived_loan_to_value_ratio
1,1,1,0,0,1,3.0,87.12,0.0,0,6,2,2,3
0,2,0,1,0,1,1.0,75.0,0.0,0,4,2,2,2
0,2,1,1,0,1,3.0,64.79,0.0,0,4,2,4,2
0,1,1,1,0,1,3.0,32.38,0.0,0,4,3,2,2
0,1,1,1,0,1,3.0,72.0,0.0,0,2,2,4,2
0,1,1,1,0,1,3.0,59.03,0.0,0,1,2,5,2
0,1,1,1,0,1,3.0,38.38,0.0,0,3,2,4,2
0,1,1,1,0,1,3.0,65.22,0.0,0,4,2,4,2
1,1,1,0,0,1,3.0,60.0,0.0,0,6,2,1,2
0,3,1,0,0,1,1.0,97.0,0.0,0,4,1,3,4
0,3,0,0,0,1,1.0,115.0,0.0,0,3,2,2,1
1,3,1,0,0,1,1.0,95.0,0.0,0,4,2,3,3
0,1,1,1,0,1,4.0,70.0,0.0,0,4,3,3,2
0,1,1,1,0,1,1.0,90.0,0.0,0,4,1,3,3
0,2,0,1,0,1,3.0,36.49,0.0,0,2,2,3,2
0,1,1,1,0,1,3.0,74.33,0.0,0,3,2,4,2
0,1,0,0,0,1,3.0,75.0,0.0,0,5,2,2,2
0,3,0,0,0,1,3.0,68.18,0.0,0,5,1,3,2
0,2,0,1,0,1,1.0,95.0,0.0,0,4,1,3,3
0,1,1,1,0,1,3.0,64.4,0.0,0,2,2,4,2
0,1,1,1,0,1,1.0,80.0,0.0,0,2,1,5,2
0,1,1,1,0,1,3.0,74.35,0.0,0,2,2,5,2
0,1,0,0,0,1,3.0,75.0,0.0,0,3,1,4,2
0,1,1,1,0,1,3.0,71.56,0.0,0,4,1,2,2
0,1,1,1,0,1,1.0,93.9,0.0,0,4,1,2,3
0,2,0,0,0,1,2.0,70.0,0.0,0,5,2,1,2
0,2,0,0,0,1,2.0,28.05,0.0,0,6,2,2,2
1,2,0,0,0,1,3.0,92.13,0.0,0,2,2,4,3
0,1,1,1,0,1,3.0,87.5,0.0,0,4,1,3,3
0,3,0,1,0,1,3.0,75.0,0.0,0,4,2,4,2
0,1,1,1,0,1,3.0,71.77,0.0,0,2,2,4,2
0,3,0,0,0,1,4.0,21.62,0.0,0,2,3,3,2
0,1,0,1,0,1,1.0,38.96,0.0,0,4,3,4,2
0,3,1,0,0,1,3.0,88.89,0.0,0,1,2,5,3
0,3,1,1,0,1,1.0,95.0,0.0,0,4,1,2,3
1,1,1,0,0,1,1.0,80.0,0.0,0,4,2,3,2
0,2,0,1,0,1,3.0,90.0,0.0,0,3,1,4,3
0,1,1,1,0,1,1.0,80.0,0.0,0,4,1,4,2
0,1,1,1,0,1,1.0,80.0,0.0,0,3,2,4,2
0,1,1,0,0,1,2.0,83.8,0.0,0,5,1,4,3
1,1,1,0,0,1,1.0,90.0,0.0,0,5,1,1,3
0,1,1,1,0,1,3.0,60.75,0.0,0,2,3,4,2
0,1,0,1,0,1,1.0,95.0,0.0,0,3,1,3,3
0,2,0,1,0,1,4.0,73.94,0.0,0,3,3,3,2
0,1,1,1,0,1,3.0,75.0,1.0,0,3,2,5,2
0,3,0,0,0,1,3.0,46.03,0.0,0,2,3,3,2
1,2,0,0,0,1,3.0,79.62,0.0,0,2,2,4,2
0,1,1,0,0,1,2.0,56.69,0.0,0,5,3,3,2
0,1,1,1,0,1,1.0,80.0,0.0,0,3,1,3,2
0,1,1,1,0,1,1.0,75.0,0.0,0,3,3,4,2
0,1,1,0,0,1,1.0,20.15,0.0,0,6,2,2,2
0,3,0,1,0,1,1.0,98.93,0.0,0,2,1,3,4
1,1,0,1,0,1,1.0,80.0,0.0,0,4,1,2,2
0,2,1,1,0,1,1.0,95.0,0.0,0,4,2,2,3
0,1,0,0,0,1,1.0,80.0,0.0,0,5,2,4,2
0,1,0,0,0,1,3.0,49.06,0.0,0,5,3,2,2
0,1,0,1,0,1,3.0,47.39,0.0,0,6,3,1,2
1,1,1,0,0,1,3.0,73.02,0.0,0,3,2,2,2
0,1,1,1,0,1,3.0,84.13,0.0,0,3,2,5,3
0,1,0,1,0,1,1.0,90.0,0.0,0,2,3,3,3
0,1,0,1,0,1,1.0,78.39,1.0,0,2,3,4,2
0,2,1,1,0,1,1.0,90.0,0.0,0,3,1,4,3
0,1,1,0,0,1,1.0,90.0,0.0,0,4,2,4,3
0,1,0,1,0,1,1.0,75.0,0.0,0,4,1,3,2
0,3,0,1,0,1,1.0,95.0,0.0,0,4,3,3,3
0,1,1,1,0,1,1.0,80.0,1.0,0,4,3,4,2
0,3,0,1,0,1,1.0,99.0,0.0,0,3,1,2,4
0,1,1,1,0,1,3.0,48.95,0.0,0,3,1,3,2
1,1,0,1,0,1,3.0,70.0,0.0,0,4,2,4,2
0,1,1,0,0,1,3.0,86.16,0.0,0,2,2,4,3
0,2,1,1,0,1,1.0,80.0,0.0,0,4,3,4,2
1,1,1,1,0,1,1.0,101.94,0.0,0,4,1,2,1
0,1,0,1,0,1,1.0,80.0,0.0,0,4,3,4,2
0,2,0,1,0,1,3.0,48.57,0.0,0,4,3,2,2
0,3,1,0,0,1,4.0,111.11,0.0,0,1,3,1,1
0,1,1,1,0,1,3.0,90.0,0.0,0,4,2,5,3
0,2,1,1,0,1,1.0,90.0,0.0,0,2,2,5,3
0,1,1,1,0,1,3.0,73.92,0.0,0,3,3,5,2
0,1,1,0,0,1,3.0,80.0,0.0,0,3,3,4,2
0,1,0,1,0,1,3.0,80.0,0.0,0,4,1,4,2
1,1,0,1,0,1,1.0,97.0,0.0,0,4,2,1,4
0,1,0,1,0,1,3.0,80.0,0.0,0,1,2,5,2
1,1,1,1,0,1,3.0,60.1,0.0,0,2,2,3,2
0,2,1,0,0,1,1.0,90.0,0.0,0,1,1,4,3
0,1,1,1,0,1,3.0,75.0,0.0,0,4,3,4,2
0,1,1,0,0,1,3.0,91.31,0.0,0,2,2,4,3
0,2,1,1,0,1,1.0,97.0,0.0,0,2,2,3,4
0,3,0,0,0,1,1.0,106.17,0.0,0,4,2,1,1
0,1,0,1,0,1,3.0,67.46,0.0,0,4,3,4,2
0,1,1,0,0,1,1.0,88.44,0.0,0,4,3,3,3
1,1,1,1,0,1,3.0,76.7,0.0,0,3,2,3,2
0,1,0,1,0,1,1.0,90.0,0.0,0,4,1,2,3
0,1,0,0,0,1,2.0,24.49,0.0,0,6,2,2,2
0,2,1,0,0,1,1.0,75.0,0.0,0,5,3,3,2
0,1,1,1,0,1,3.0,78.14,0.0,0,4,1,4,2
1,1,1,1,0,1,3.0,80.0,0.0,0,4,3,3,2
1,1,1,1,0,1,1.0,95.0,0.0,0,4,1,3,3
0,1,1,1,0,1,3.0,68.36,0.0,0,4,1,3,2
0,1,1,1,0,1,3.0,68.66,0.0,0,4,2,4,2
1,1,1,1,0,1,1.0,95.0,0.0,0,4,1,2,3
0,1,1,1,0,1,3.0,70.77,0.0,0,4,2,3,2
0,2,1,0,0,1,4.0,165.14,0.0,0,4,2,4,1
0,1,1,1,0,1,1.0,66.67,0.0,0,2,3,2,2
0,1,1,1,0,1,3.0,78.51,0.0,0,4,2,4,2
0,1,0,0,0,1,3.0,77.78,0.0,0,6,2,4,2
0,3,0,0,0,1,1.0,113.95,0.0,0,4,3,2,1
0,1,0,1,0,1,3.0,69.84,0.0,0,2,2,4,2
0,1,1,0,0,1,2.0,80.0,0.0,0,4,2,4,2
1,1,1,1,0,1,1.0,80.0,0.0,0,4,1,4,2
0,3,0,0,0,1,1.0,80.0,0.0,0,4,2,4,2
0,3,0,1,0,1,1.0,99.72,0.0,0,4,2,2,4
0,1,1,0,0,1,3.0,27.56,0.0,0,4,3,3,2
0,1,1,1,0,1,3.0,70.0,0.0,0,2,1,4,2
1,3,0,0,0,1,1.0,80.0,0.0,0,1,2,2,2
0,1,0,1,0,1,3.0,51.85,0.0,0,4,3,2,2
0,2,0,1,0,1,3.0,45.59,0.0,0,4,3,2,2
0,3,0,0,0,1,1.0,98.14,0.0,0,3,1,3,4
0,1,0,0,0,1,4.0,29.71,0.0,0,6,3,1,2
0,3,0,1,0,1,1.0,102.56,0.0,0,4,3,2,1
0,2,1,1,0,1,1.0,90.0,0.0,0,1,2,4,3
0,1,1,1,0,1,1.0,80.0,0.0,0,4,1,4,2
0,1,1,1,0,1,3.0,75.0,0.0,0,4,2,3,2
1,1,1,0,0,1,3.0,25.0,0.0,0,4,2,4,2
0,3,1,0,0,1,1.0,75.0,0.0,0,5,1,3,2
0,1,1,1,0,1,1.0,80.0,0.0,0,4,1,3,2
0,1,1,1,0,1,1.0,95.0,0.0,0,4,1,4,3
1,1,1,1,0,1,3.0,75.0,0.0,0,4,2,4,2
0,1,1,1,0,1,1.0,97.77,0.0,0,3,1,3,4
1,1,1,1,0,1,1.0,97.0,0.0,0,4,1,3,4
0,2,0,1,0,1,3.0,69.67,0.0,0,4,2,3,2
1,1,0,0,0,1,1.0,70.0,0.0,0,4,3,3,2
0,1,0,1,0,1,1.0,95.0,0.0,0,4,3,2,3
0,3,1,0,0,1,4.0,50.0,0.0,0,4,3,2,2
0,1,1,1,0,1,3.0,58.82,0.0,0,4,3,2,2
0,2,0,1,0,1,3.0,41.03,0.0,0,4,1,2,2
1,1,1,0,0,1,3.0,87.81,0.0,0,3,1,3,3
0,3,0,1,0,1,3.0,68.97,0.0,0,4,3,3,2
0,1,0,1,0,1,1.0,80.0,0.0,0,4,1,4,2
0,1,1,1,0,1,3.0,70.21,0.0,0,4,1,4,2
0,1,1,0,0,1,3.0,75.0,0.0,0,1,3,4,2
0,1,0,1,0,1,4.0,53.13,0.0,0,1,2,3,2
0,1,1,1,0,1,1.0,80.0,0.0,0,3,3,4,2
1,1,0,0,0,1,1.0,50.0,0.0,0,2,1,3,2
0,1,1,1,0,1,1.0,99.0,0.0,0,3,1,2,4
0,1,1,0,0,1,1.0,80.0,1.0,0,4,2,4,2
0,1,1,1,0,1,1.0,95.0,0.0,0,4,1,3,3
0,1,0,1,0,1,1.0,95.0,0.0,0,4,1,3,3
