ethnicity,race,gender,action_taken,preapproval_requested,loan_type,loan_purpose,loan_to_value_ratio,interest_only_payment,balloon_payment,debt_to_income_ratio,age,income,derived_loan_to_value_ratio
0,3,0,1,0,1,1.0,80.0,0.0,0,4,2,3,2
1,1,1,1,0,1,1.0,73.69,0.0,0,3,3,4,2
1,1,1,1,0,1,1.0,51.21,0.0,0,2,2,4,2
0,1,1,1,0,1,1.0,80.0,0.0,0,4,3,4,2
0,1,1,0,0,1,1.0,92.81,0.0,0,6,2,3,3
1,1,1,1,0,1,1.0,80.0,0.0,0,4,2,3,2
0,1,0,1,0,1,1.0,80.0,0.0,0,3,3,3,2
0,1,0,1,0,2,1.0,28.65,0.0,0,5,2,1,2
0,1,1,1,0,1,1.0,94.99,0.0,0,4,3,4,3
0,1,1,1,0,1,1.0,85.65,0.0,0,4,3,4,3
0,1,1,1,0,1,1.0,74.45,0.0,0,2,3,4,2
1,1,1,1,0,1,1.0,89.99,0.0,0,2,3,4,3
0,1,1,0,0,1,1.0,70.58,0.0,0,6,3,3,2
0,1,0,1,0,1,1.0,96.99,0.0,0,2,3,4,4
0,1,0,1,0,1,1.0,60.77,0.0,0,1,3,4,2
0,1,1,1,0,1,1.0,49.45,0.0,0,4,1,3,2
0,1,1,1,0,1,1.0,61.0,0.0,0,4,2,3,2
0,1,0,0,0,1,1.0,80.0,0.0,0,6,3,3,2
0,1,1,1,0,1,1.0,80.0,0.0,0,4,1,3,2
0,1,0,1,0,1,1.0,74.99,0.0,0,4,3,4,2
0,1,1,1,0,1,1.0,80.0,0.0,0,4,1,4,2
1,4,0,1,0,1,1.0,80.0,0.0,0,4,3,3,2
0,1,1,1,0,1,1.0,38.46,0.0,0,4,3,3,2
0,1,1,1,0,1,1.0,80.0,0.0,0,4,3,3,2
0,1,0,0,0,1,1.0,35.86,0.0,0,6,2,2,2
0,3,1,1,0,1,1.0,80.0,0.0,0,4,3,4,2
0,2,1,1,0,1,1.0,80.0,0.0,0,4,1,3,2
0,1,0,1,0,1,1.0,84.99,0.0,0,3,3,4,3
0,3,1,1,0,2,1.0,102.14,0.0,0,3,2,4,1
0,1,0,1,0,1,1.0,25.95,0.0,0,4,3,2,2
